"Beds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
209,-999,1474546,2348983,268922,0,12224179,14654461,2598018,0,726812,6263656,3885779,173952,6368423,13661616,1275899,0,42893,10494002,1749143,227590,10157176,10603649,854839,69929,16694065,28187257,9457983,-999,16186446,-999,-999,-999,8959497,18083617,364658,0,13556,881323,647292,14232,2640048,7997480,21395,1370,0,1710141,1099211,3181,507577,3322496,-999,46026,2334510,7551115,101142,0,7742,982537,142273,0,2549849,7205110,1271355,0,4301,1887111,948033,8415,2355886,6057079,655100,8759,5672496,12312634,1887480,241,123704,5327181,2405782,146568,2912564,8500549,268681,229,331590,3880980,1270785,395,1213182,4491049,158555,0,1760530,6495225,2825730,1917,1553513,8958443,1699192,1029740,7454133,13335765,2182894,13350,934568,12534910,3485199,1994,162677,4505114,975190,8732,276240,5069045,586937,20982,5685228,9457532,1497299,16328,1877245,8907097,441868,39802,8050315,16258132,534156,29195,5096280,13733450,1318984,0,40104,6016313,2063877,115362,8569949,14163735,520652,0,189552,6142075,4402560,1022515,7721272,8719012,87082,0,569638,6186166,1521683
14,-999,519374,1759330,891108,1081353,-999,25922,159391,302253,24722,2637125,6487624,1688027,1984981,1547340,931732,-999,10336,-999,3852220,-999,2377468,205027,3393255,342346,174441,51852,44417,53196,1798,1384090,315946,420368,165258,113649,638133,201055,117518,-999,55259,33994,832832,354102,30907,31696,-999,192975,139602,11150,26051,1563,80764,53442,143000,2268,0,0,74103,31353,131733,549729,816830,719010,995709,205291,232737,311112,784381,957421,849012,78187,989813,1224477,828794,141883,231167,33176,144010,357094,310590,69361,791852,344204,98237,199950,186495,129629,442635,35742,250568,180381,455843,54263,1212549,64279,864718,601461,545930,379209,1925166,2488271,1633520,319365,961705,1248095,1224931,2606742,1831858,789874,3192716,1237691,2069804,223926,-999,297697,396793,1361282,1512890,602816,1110016,467334,108701,154656,334158,2434164,1834248,249727,1972,20789,196694,244046,555177,1310692,1288181,960989,413394,861810,1417741,310940,66312,21305,65627,466694,189764,1082199,965378,648536,430186,518435,654700,496378,487742
15,-999,16926,-999,-999,3908,0,0,-999,34739,28312,3343,53892,33377,19875,0,0,-999,1217,1512,10788,179450,7665,0,48938,55340,0,0,0,0,11788,0,164594,149995,12188,10712,59938,36839,10512,0,391,4700,4517,0,0,0,-999,0,0,0,0,0,0,0,7010,0,0,0,0,0,0,0,0,0,332,0,0,0,485,360,0,0,2237,15365,66875,6995,46926,55760,134373,34105,2647,15425,2077,0,7374,241,8433,0,0,0,0,0,0,7462,18492,0,11499,11486,43457,0,4084,44762,41575,6581,6574,40409,86283,14032,139604,81331,32162,859,38269,55067,135590,5752,71108,367407,264304,925,63049,91400,28347,1921,0,0,0,0,0,0,0,0,309,0,0,0,0,1512,13328,200,0,0,0,0,0,0,17499,0,0,0,0,0,0
16,-999,579779,-999,35499,572290,1459435,0,-999,626502,409051,9307,404616,536529,1391617,86577,45739,-999,21895,129009,404948,1600910,138924,502,338853,142374,116451,6251,0,38557,228305,31369,283302,172480,14617,162888,175153,513642,591734,0,23702,66452,288350,101800,47421,124494,87399,2097,2549,356050,724440,9060,122477,348812,865078,0,0,0,0,0,0,10512,27347,28087,130957,175641,81341,10620,365530,425365,837443,92845,738320,1771912,2525412,142487,951679,964378,2101251,373222,390954,1378794,758361,28729,71741,312770,757723,67493,39782,77064,104829,18070,117210,164521,1187649,54236,722611,1657999,1646284,12708,512665,2992515,3001556,419946,178586,1482463,3076781,1499267,1325888,801968,524833,111800,362790,744758,1841548,246129,794966,2834942,2409605,298683,581407,721690,1279239,57666,0,3118,132994,5618,0,17482,110934,16360,3177,125331,19374,1180,127,178820,1612833,67210,9852,176914,298154,27193,223,3771,13968,41133,4867,17873,80369,0,22912
17,-999,2570406,-999,1231698,4474911,-999,30012,1986457,2618652,1334104,1302084,1950431,1447754,5244686,2990585,1139042,-999,802907,1380655,2146054,4260063,1769873,108829,1380095,1805041,-999,3768077,1266072,686637,2593442,1266945,886247,1263377,750213,2941636,1897497,1215301,4003601,458717,58921,743395,3911876,1076340,471313,654637,510352,161705,71124,434265,980071,28787,180580,687684,3059370,341789,19033,5505,32421,26708,13706,340206,983607,879129,1402188,898586,1473026,433367,1798169,1653896,3036288,356589,983634,2556975,6254944,2245626,2583585,1103922,4084403,5510695,2492490,2915170,5352263,874177,282731,621163,2836264,1408200,557352,338247,226244,12540,171967,570836,3687857,393987,2158180,2403487,5039429,322080,543843,3565897,5119535,2375987,337954,883263,3918526,2847692,933375,676669,1037949,254130,506710,362360,2541452,445026,558279,2319612,3742293,939692,1357416,1013109,1724637,181914,8952,101743,1450428,900917,1982,66751,1039534,768947,367254,1168031,2461743,389570,356564,1526991,6948592,1114585,34374,261938,1002991,327954,1103,15401,464366,556975,283156,737129,1445576,18320,260939
210,-999,4342738,5056296,944925,11292,18078940,19259721,2996649,16164,1091100,7041239,5062584,240025,4140021,17363209,-999,20789,61594,8815077,2087281,298049,5124677,9811667,395327,30456,6946807,18016564,5818585,-999,9735342,-999,-999,-999,10075991,16529297,168392,90744,225381,2380413,609141,139569,1193440,6806880,52324,10300,66875,3426199,2068157,43177,1098597,3772065,-999,123634,3112822,9221872,43645,0,50687,1708657,379058,39888,5164801,10117152,1523423,27227,83290,1522615,880487,60111,1766432,4796784,452979,38220,2840862,9579791,2857298,10578,246079,3737552,1603669,138662,1144035,4773149,115782,14608,592306,5087874,3126465,25321,1407233,4949311,141323,15936,2190687,8347010,3411275,49539,1250148,10073997,1475992,416204,5277799,12255506,1626169,18253,588577,9610622,2871797,157758,533325,1985176,433786,32561,519483,4183354,1198525,151643,5647361,7510580,1294398,52704,1598363,7738098,202642,51475,5082560,13100754,1108937,45611,4294876,12661773,1662558,5965,164520,7076090,2185152,160221,9999766,16220615,484019,12785,321198,4506905,2586314,527519,4804940,7810989,500714,25360,859905,6270938,1303387
211,-999,51102,819158,571475,115567,2511008,4215259,1297363,555,160755,2147462,1247967,4865,61793,1948628,-999,4606,3455,3627889,2019526,802685,2193325,4849128,488730,0,1073611,4096309,2039118,-999,561452,-999,-999,0,1070623,3714827,712099,0,128696,-999,741997,0,388199,3202601,222756,4286,51025,1226321,124704,3088,50193,773890,-999,62384,789901,2330833,161596,0,1716,-999,141024,0,229543,2030069,845623,0,71112,2548893,818569,2155,288581,2584745,218223,0,376073,1431811,406957,0,14616,2826300,1238748,362290,1531281,4371717,537051,0,259697,2713847,1504295,8587,73130,1004090,97012,254,374479,2610798,1417816,254,274386,4988923,950620,336139,1901160,3506644,454653,0,31756,3557861,1293317,175010,56410,873710,70525,0,0,1340272,446406,4853,1253018,3261033,619287,784,15237,465801,35217,2400,254913,1537395,184478,2931,321305,2981100,1318772,1323,13833,2552579,1129795,8175,1227736,5422357,588178,0,94032,797231,332979,16546,320732,1315442,289797,0,270652,4175676,1290815
18,-999,3080,-999,4234,260,28510,53767,45481,11105,14677,57672,68786,56030,122348,253588,62381,0,46128,106879,60026,307028,223793,45973,168078,180653,769738,190175,213281,-999,424511,308179,179724,104744,1869,1135,586,737,54388,0,0,6777,181676,13570,5519,3388,5361,0,13543,0,0,44015,49633,31589,122507,6188,172,0,0,1075,8141,75228,191414,272175,96271,8919,203562,73396,57687,63098,94927,18618,33300,66405,387299,206433,92507,11632,75415,203663,3774,3631,150,10173,12334,22372,134222,107895,14131,0,583,14216,22237,47091,131891,57835,42600,1941,55305,20477,55973,204250,506248,553922,0,0,2411,52472,50502,33077,89625,231348,129259,19705,161063,295767,52169,143984,248678,242686,304482,246440,932837,250906,4695,6920,44254,37619,0,0,0,0,1614,813,61524,15695,762,43201,268119,25714,0,0,21173,7512,3332,46137,133941,115846,45360,68622,267542,26956,3589
19,-999,0,-999,14215,7937,-999,173926,38635,38547,62439,51370,86839,248867,471712,421183,51055,0,38996,19222,154667,429806,136418,0,294923,362346,527302,0,1017,-999,339007,67066,146511,102817,24644,328,3345,9565,46886,0,0,733,157032,3629,17471,11376,64673,0,0,0,0,0,6871,163809,188076,0,0,0,0,0,0,0,360,2702,23778,3363,32412,10246,2081,4975,1551,0,0,324,17755,11023,108566,100207,454947,237052,0,0,0,0,0,1607,30483,19094,144,0,0,0,96,28577,183471,27035,6083,0,0,0,13267,246893,364897,23985,0,434,7714,0,5910,7735,7741,33032,81010,8217,4051,1460,8456,73027,93530,48034,244125,224205,256151,5607,2823,1056,18499,19623,0,0,0,0,16697,40085,63598,291,307,10920,199923,37398,71,1026,26544,5591,200,7169,21661,32344,18982,41731,95981,0,0
20,-999,369803,-999,51839,96519,792054,481081,232191,42167,41777,405816,327346,399771,558163,916212,251107,11591,70779,747475,593421,907643,247765,147432,1018732,349053,911581,148829,214588,-999,883466,684417,949643,-999,539680,19833,143850,155692,103161,8191,193653,131553,1309201,41969,113566,75243,99453,88770,65148,0,1305,318035,500386,254372,671541,14533,0,0,0,0,4795,13165,50749,54533,56423,6273,2145,620,0,0,0,15355,7546,317,52786,37851,12976,0,0,3730,79378,53510,110524,12190,497795,313255,543288,1070806,1273128,220485,392244,482524,641763,537016,2192181,311285,1144007,66790,761186,629512,491243,1350751,1186057,46508,211472,225771,378720,1209765,482466,230434,879024,1049819,430750,332354,611389,288040,191763,700541,956245,534100,786869,239043,406118,73179,39732,7427,54875,17583,0,36065,65122,109757,313818,89477,1097470,311506,7295,100520,531585,634,0,0,0,493,0,3234,45359,34340,1489,71835,590945,19290,31317
