"Beds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
115,-999,4325648,-999,1898285,4599282,16086165,6115327,3383705,2374987,1024292,4548715,1452724,626874,87427,3009552,290957,43311,446418,3090822,3917179,5894948,588973,891895,8920505,4008450,24112994,10673782,1725341,-999,23096242,17735658,1427617,-999,2240991,-999,993639,2266138,4720718,1781618,134865,343154,6964475,-999,643888,43719,38398,629105,976242,367052,989377,-999,440358,1101455,1289663,235851,6092,27771,65394,287845,40766,346030,257883,1938298,451394,12126,221581,535113,132360,32858,65374,129833,249117,55612,476785,3302126,5889807,274629,5218281,23498572,8590013,2970033,8934836,29462283,4069134,6167296,17698523,27645147,7192185,354699,1456897,10552232,4255796,11167608,30073789,14839684,26248,44940,686275,7248059,4952712,7986974,3634204,1488896,144700,696183,1041138,10878176,1057284,1511,197294,3811026,5284834,3227496,7049831,7921776,916876,1364229,11270523,7488628,2501894,476582,1856597,3223812,274773,412154,2005189,2264127,4182,41505,351166,2249749,369410,111581,2212091,4952107,282569,99258,911679,3012913,115655,413,8696,1622408,104347,94184,143909,873929,105482,24330,94068,546060,60226
116,-999,697,-999,27072,128096,573261,172590,159033,288597,253790,376436,58915,191073,118311,43008,34948,16927,12933,148891,69138,410620,180272,42190,81020,21612,51488,752,7469,-999,55055,14090,0,-999,11634,9253,11019,10336,220858,40899,1317,17118,394180,221855,21606,10401,16750,5171,0,546,23198,49436,82537,249453,204180,29115,0,0,0,0,753,13618,34966,112400,14837,0,38599,69858,5431,212,6149,12103,5248,4288,3344,84015,258215,68501,208031,358033,237041,237729,168324,165479,323173,408998,257163,388951,113898,5871,96916,61045,3625,16139,350644,330971,127278,1993,112007,133360,27684,81203,65192,30697,22986,295,0,109432,5924,611,18742,86761,86384,247443,326146,20424,44549,126329,833700,553963,197706,124182,123822,60595,325,0,0,496,0,1299,14785,91568,40840,10468,29632,44083,4064,707,48421,92886,9376,0,1509,168501,25881,36846,75994,122601,8751,332,4107,54411,62035
117,-999,26447072,-999,3569343,10029689,3219721,5365364,1969818,493878,3120311,4219776,2481271,2585834,9796227,-999,364203,25669,1647255,12165427,2989021,4813342,6167072,2307360,330940,659081,14690955,14254987,2211086,-999,16517275,14652680,703581,551037,11919810,-999,1552584,70816,11116183,8760796,1106549,347944,13646723,14011420,3860861,59662,910828,2333545,1078291,691362,2698858,-999,431288,435996,4539753,3478403,32890,159423,3278850,11581277,7287268,8909580,12553316,6324605,557529,2562,951489,4088245,1837793,345083,4043894,8448968,3426588,1721478,5568742,6933312,750775,103723,3828061,23437157,11282810,2575337,12019375,21197726,2395136,225323,8798065,21517654,7070980,192630,4022734,-999,2288396,1762996,8476959,6944566,132589,78536,7759177,23413875,12571408,2672606,7013897,4442256,209966,316197,5991474,17388239,1750776,43450,2588196,11154641,2411060,849130,4682535,3570659,406801,2300140,20749894,11551960,1617712,16666,3299359,1684287,36376,577838,8351251,12418154,424396,1393040,10942019,6688587,1165282,101071,4255696,6569089,1392328,828090,3294254,1474767,6059,0,-999,819433,226969,16170,435447,461611,35539,23838,287831,-999,8600
118,-999,1870378,-999,422828,853675,-999,5573567,3417938,370220,1175682,4067258,1190879,403110,972670,-999,799260,218935,2035906,5962029,1977682,3145363,5770250,7868035,352616,0,1789535,11343996,3687820,-999,6776510,17199557,2983432,336155,5959460,-999,2888727,1618863,9542650,15062373,1835010,232469,3327843,-999,6420962,98945,749779,2500981,802687,133600,546598,-999,366553,217934,1315778,1475748,24979,7022,216799,1882427,548183,667470,638515,3353762,667077,0,98573,569474,110870,29802,150211,760600,446619,144658,1413832,3918192,256738,105157,2890886,20358993,7873077,2307719,11820936,39697625,5814067,1487074,11032423,42039546,11677619,167930,1134896,-999,4586153,2046012,9125337,38131387,3480668,2599,461336,8413599,5000370,3162746,4251594,4926402,78500,508,175195,11823062,1765447,168795,3536620,12098756,2839282,670105,3301333,-999,574135,7635,2967296,4617391,1183802,117871,2985339,4998952,345671,491408,2636077,6042950,333876,5536,290031,2182307,694503,220791,1882578,4556393,465930,92879,859879,2234482,263650,854,-999,963146,298346,73709,1060187,1670276,178586,46743,788025,-999,141357
212,-999,54644,1414426,958622,207045,8154830,11333881,3922082,101977,1567739,7205592,3175864,-999,1097124,8158342,-999,0,0,5743936,4202050,2945824,5897147,10732284,1171098,697,5298924,18436267,10703004,-999,2043011,-999,-999,-999,1368987,8931988,3781362,0,750247,-999,4030418,0,2196982,10183432,2213692,910,155948,3878997,1698006,14384,519065,5966637,-999,282424,3662200,9380884,899136,0,9577,-999,331390,24519,322867,2159452,1310493,0,258644,4874791,3490170,45738,2330862,7085342,422164,832,1227286,4590190,1334675,2288,30271,5446765,3908461,1864844,7857562,15104223,2389426,0,769550,8767299,7075565,49423,484461,3073582,635722,0,1605563,10295172,7431401,1478,1931700,15776397,3431085,579959,5458514,12019565,1913281,0,8483,2520901,1449561,478808,43405,617497,342696,16967,252958,4737363,827669,636,3849236,11045723,2812119,4726,384,1189471,167605,542,567930,3536913,847785,33534,835665,7891874,3615222,7603,1579,2000262,1755282,351467,2624939,7971531,1285926,1155,1947,212399,161820,21453,454955,3364074,1963676,3107,951539,12443506,6460338
213,-999,1367110,4521935,1852978,57867,9679271,17086433,4506031,15519,1493933,6633951,2495716,102009,1124707,11878455,-999,5787,237436,11233259,3322275,438036,4263927,11614245,1323842,14633,5297345,18325965,10149802,-999,4603490,-999,-999,-999,2405882,9348731,1782092,6083,1415764,8478868,4106530,244,2236552,11236089,2515027,4876,438315,5885348,2471338,8444,1317827,9543459,4006226,295564,4175550,11184078,579423,0,26157,531678,716075,310763,2212173,9553243,2653050,0,125250,6836240,3588233,27336,2352344,9205187,1423232,1469,1915955,6481887,1655365,931,229749,7247110,4178657,461938,3961086,12209380,1637784,39554,1020794,6085034,3314203,2862,566506,3281394,766216,893,1696230,10346203,4642316,924,1338896,13540439,2240342,180918,2154740,16187529,2586384,3356,58756,5372343,1979777,183738,204466,1696243,327291,1576,137528,4977703,1368102,8724,3332068,6822763,1398005,193,305353,3000490,171022,6640,1418783,5585304,892087,12884,1152274,6680132,1964187,4690,229964,4197969,1567354,95208,2904153,13836706,2150605,0,228658,2478024,977016,16274,1278384,4119930,1152446,215,645643,5433753,1698867
214,-999,1038567,5196696,2872356,1179120,12591637,21171375,7763497,31129,523571,7431958,3733767,335507,551191,12184039,10868508,155488,3364883,17506163,6699315,2183425,7520346,19138628,4077779,13986,5387808,19612208,14761841,-999,5598237,23066034,2847498,37560,6659748,19054736,7106057,298323,1524141,10041790,5475511,3659,2861871,12334955,7966349,60119,4640006,15004119,8110813,28629,1699683,12648447,7018231,262573,5350428,14924402,1408505,0,108850,2790760,2280447,347911,2920742,15170030,4127777,3508,86091,8142613,6494870,547590,2844335,13839425,3792989,1248,2566678,10170196,4097947,1048,249728,10101902,7326740,1209902,4477783,17643093,4887821,54991,2583302,18337702,14050035,28599,804903,5976785,1776807,16394,2267951,16708776,10822112,796,2314380,23393642,7847304,1175407,4831107,16775381,2575035,0,46933,3550709,2400687,625519,450357,3788183,1347527,6610,1302695,9144476,4382386,36600,7377398,20115069,4811989,7454,60399,2661900,456380,20739,1649329,8120573,2047330,34054,3365725,14288677,6766141,197025,51489,3810438,3090185,215745,3103980,14441350,4802519,3028,375279,3974450,1887069,64543,1013937,4498824,1721882,2929,169209,2640933,1466102
215,-999,2635082,5321259,1444141,435328,7939610,9680060,2877559,5309,311475,4591432,2669016,527578,1847678,7989649,-999,11463,982466,5663345,2779882,1031913,4085281,6205293,688795,6557,3814881,9641071,5414349,-999,728543,5358432,1047565,0,1177886,5232370,2447589,81763,1826292,6038080,1538683,33392,959931,6655523,3298135,329,493745,3748526,3081272,3532,1074455,4700283,2754705,235035,3544512,6425860,844643,0,231308,1454463,699791,384749,3759344,7270222,762559,4337,195170,3011408,2166260,348450,2938233,7755914,2550441,0,500817,3960268,2012783,241,208435,3838388,3031106,158437,1999501,7153489,2591713,26341,822226,6107093,3859917,7144,358533,2889357,997849,6650,898122,6812900,3911610,881,571604,7651532,3564920,430004,899225,6636662,1835803,662,19794,1472567,1809357,284965,711460,3813718,1814298,19187,1711755,8060649,1233333,11945,3619608,7979616,2254142,9173,75858,1162725,527669,12413,1352620,6633985,1720909,152099,3941556,8637757,2274064,37242,146853,2145265,1872695,662032,3231194,7248780,2093756,1808,302468,2943909,2031736,30345,1359119,4810554,1752584,859,536416,2948022,1327848
216,-999,922370,9158246,5786952,757431,-999,35100031,8945845,41727,4972125,24604833,6945632,255720,2104308,17538469,10242006,87583,2718813,13890844,4152657,3263320,12427683,16140783,1895433,6190,4083438,28768334,15002532,-999,8204533,21636894,282880,-999,6374070,27793129,8956920,610212,5074186,15970514,3400168,130779,952481,21046435,8898166,61846,4098896,21971154,9338268,118731,6874373,-999,8132935,89304,7043815,15534610,590974,0,35922,1840148,776048,162835,2376153,16369769,5302489,221,174174,15342770,9283537,475834,7093275,24151843,7470778,5426,2255348,15605680,5359605,1205,269748,6790170,2682160,215661,2602644,16853340,8308067,154020,4104970,23602266,13335111,324971,6776615,19363255,1231228,10562,684925,11752851,5541443,4011,1509709,19669826,8649132,1191979,7824635,23791804,3302191,46536,677738,16487467,5208741,38887,427214,4411784,1339944,67260,419166,9313426,4343923,93756,9989023,28229400,5958146,45163,3286660,16298822,2983874,55213,4614864,13457847,1991916,11410,350820,8651454,5836054,674547,1097595,14992574,8626970,372491,10804462,23687583,4147970,5809,424994,6996813,5119324,285401,2796241,12026128,3285290,26059,4443099,17437234,5708754
217,-999,401688,6088427,7606532,-999,-999,26917181,13446687,404491,3825295,17502740,8116764,713151,624208,12284854,8650965,21487,2115573,9887103,4784293,1624010,5837592,15119128,4234895,3264,914287,16123994,11438682,-999,2806718,14228658,325182,-999,2418872,15483529,5471538,263922,1979252,9444293,2883886,159960,471513,3628666,3603299,308739,1481439,10797549,6540891,347995,2149715,-999,6631422,167514,2216424,8358068,1570678,0,0,185684,306799,19334,317781,7986755,4520566,1577,463482,13282109,8121126,975157,5276784,17892221,6404108,1755,814079,7775760,3497169,6420,90321,4329643,2653516,845430,3344850,11476189,5597738,341978,3342524,14913705,10642174,490148,2684456,8099063,1397930,15238,179275,6482977,4777099,2893,1203872,12521911,6424366,1011339,4272933,19312061,3518700,1813,40349,3714031,2194115,184700,85000,2471693,1032510,46241,255375,6036018,3419935,287389,5499145,14958509,5428247,122832,186713,2521736,831344,55487,911310,3591248,1143352,4330,366853,3945606,2197345,238984,57059,2919943,1791650,204625,1296195,5026421,1820245,1072,102387,1485398,1284125,130485,840873,2896715,873133,4373,258224,1727451,941788
218,-999,596473,2509800,1907128,-999,-999,5478469,2428284,6298,66109,2432868,1595956,137991,-999,3921834,1555737,115189,2025898,4307930,881650,195155,1527284,3236734,686761,0,424493,2437491,1117347,-999,546378,2574444,5751,-999,711541,3267787,725149,19323,530234,2667074,752415,75381,360547,1870543,557868,17846,11390,926047,496331,11372,365260,-999,1027660,10075,914485,1690886,426940,345,177705,-999,889518,220599,433383,3012746,796580,0,108348,3038595,1105575,22678,846945,3063785,1095214,0,439798,2512508,895417,245,196495,1698291,598189,35784,274320,2496427,950590,45280,640721,3002156,2165359,23168,394202,1822377,89316,23700,111709,2250343,916062,169,464581,3273999,1175029,143585,571056,3562045,319991,1092,15234,1145678,707911,68584,395514,1890168,280164,12685,480882,3232879,774095,24720,652980,2114523,716447,46034,46471,617921,131414,5878,71733,595241,113505,2340,16557,175041,109862,9716,342,133905,120372,7590,113223,225130,164625,0,2774,192888,103439,1604,29057,94313,78916,377,18920,48100,22713
219,-999,2418570,10922025,5535824,-999,-999,-999,3660768,79952,1323514,6201640,4380630,1056076,2991536,13802408,4470168,1262003,8936307,12432893,4195788,1700650,7111748,7999733,1315533,6453,4179776,10548561,5642928,-999,3587231,-999,82427,-999,3687940,11066053,1360031,228220,2479568,9510376,2582499,87559,2737040,7047485,2657604,19202,-999,2858263,1465937,76785,957563,-999,3005557,349281,6064976,4879087,1263700,18166,663659,-999,2415946,271548,-999,12748790,2359143,6428,841088,12050980,5850760,1092568,5605604,8494366,2162896,27582,4112131,12462716,4658925,10335,603287,4520130,2252887,302172,1895503,9387770,3529796,252613,2370303,11773573,7545949,437601,1976043,7691070,291234,134735,1889807,11002499,3908917,38741,2245798,12038760,5583112,1604615,4354414,6880937,370283,98432,1106902,10126443,4731678,410042,1266696,6067468,1234930,96313,1720493,8642573,2438855,372183,2198578,6992211,2194903,443946,1748764,2873867,776016,103541,774397,2940781,297134,40394,707487,2587288,739512,28894,118486,988656,521064,87497,1079061,998783,392352,1458,96707,895143,439948,37683,594995,875776,525322,25151,584807,1008429,435180
220,-999,624086,4045874,1605732,-999,-999,-999,-999,69590,352781,3014429,2167787,199885,-999,5723425,3600073,645907,5247227,10688763,984193,774578,6721341,7474625,1147553,16741,1586998,7272274,3519897,-999,871798,8098134,80360,-999,394279,4857082,582352,93354,1548425,-999,1233343,6121,1662817,-999,806695,1899261,-999,855328,160376,9495,192936,-999,787417,197296,2435102,1730569,322582,7709,96635,-999,616552,146646,-999,5002087,1298936,547,204881,6300466,1958230,431191,1789400,4413876,1282588,6197,2057123,3845419,1368797,649,200938,2031099,1094013,322913,1873735,6656520,1122286,56214,1248610,4284238,1305759,18372,484093,1930237,138295,6086,866733,3876236,1867935,15277,672126,4690075,1567032,234029,1485191,5136043,414803,21957,249226,3660710,650133,52021,760071,2774657,388420,56874,653687,3569719,395794,187438,750853,1632190,220003,29822,196405,318275,63744,3535,313622,866251,95580,25309,216062,1453149,533642,27317,29480,740209,227509,31803,523496,1085881,351026,2606,39663,443775,80931,29163,223024,192249,92502,6566,136092,153600,16954
221,-999,1214076,322787,66743,-999,2079421,-999,241595,112492,378498,493332,164134,84853,482726,1168666,-999,1069360,1798459,1214161,274309,428956,1879958,1100841,138436,12587,2965912,120532,348405,-999,480748,1430090,173746,6663,785018,1043271,20830,31525,1196814,1886184,59289,36558,-999,1300803,26019,21699,-999,392094,3331,6922,1060790,-999,4518,2151,635329,441558,38721,11188,164446,-999,26539,64480,1856279,738167,7300,19287,500684,336025,48225,432880,2296089,548459,866993,406218,2517945,1002071,345560,5094,586746,708087,192636,526966,2113763,406464,216556,206582,592203,496689,12590,7367,1145706,851221,1023,248561,1649982,1340383,183131,34251,1870123,1675018,210529,692303,3739827,2745204,383450,797196,3149911,1161478,525252,334616,2271240,1957909,3794,799363,1482604,1633645,283876,416336,2126885,491809,41926,25531,900922,1017823,252948,369358,2687323,997806,330287,755597,2082162,443430,11910,0,549814,1095571,1258,181075,1843049,559203,211492,352540,1210624,419647,79432,286434,1620187,113318,357566,597054,2459479,325091,32638
222,-999,845958,1423877,56985,-999,-999,-999,1243606,7345,883767,2255457,402279,49674,1032153,3631360,-999,945487,1595218,2857028,11402,167957,4156349,3581841,268030,1728,4961747,3366784,858128,-999,990363,6376421,144652,11454,4629361,5008266,30451,140875,6029513,7295025,233694,5700,-999,9777172,680026,0,-999,1621907,22575,10637,1192655,-999,116286,8030,1919366,1480503,349261,0,93066,1440733,73256,4324,3064476,4198395,21783,5182,356253,1595245,79218,156345,3102955,2676541,1059035,175270,4052230,3556714,575788,221,439517,1831184,300779,77034,1260851,2088441,48521,16546,764370,771325,59751,17345,550521,2133544,11103,64911,1285196,3029015,327600,5697,607977,2099694,238431,233180,1982252,3425340,190589,260225,1829374,3054097,472222,104012,2299329,3574791,12106,286602,1373001,3327956,394214,145880,1788991,2801576,152617,63203,2114255,2782135,66534,134333,4185738,4775652,441800,373640,5412871,3606800,328718,1626,1486698,5351852,698484,294633,4710301,6327588,991166,64164,2075535,2593906,248520,10358,1885930,3386255,419785,193375,4598398,3222270,143127
223,-999,0,29815,0,-999,25544,-999,5146,0,6505,23242,0,0,0,78023,-999,0,3277,48823,0,3503,90780,96752,22554,0,98333,137668,61586,-999,10660,79593,0,10190,140070,143979,737,3461,105880,185679,12605,0,26443,225719,21761,1680,72442,146010,2773,5794,34926,-999,11476,4302,53338,64401,6789,0,7392,45195,0,0,8038,109056,4297,0,13916,61255,676,0,79418,100328,2260,0,119127,125320,6006,0,35624,84167,8771,15257,119701,141027,9481,1413,46747,91930,44877,2351,50850,88284,16767,340,32075,186710,27672,0,7299,90423,22094,6322,165912,268695,3218,0,18727,149048,15080,0,49626,155274,8389,30546,269547,283285,6052,0,188386,300260,27029,7761,425281,336251,12043,18273,387533,461493,51294,35566,351146,494414,282234,64759,63954,455100,106044,22057,424752,667911,61675,517,210966,506112,494115,223988,288716,352940,25941,25455,347438,553642,89532
224,-999,0,0,0,-999,0,-999,0,0,0,0,0,5717,0,0,0,0,0,0,2109,9628,3273,2726,0,0,0,0,0,-999,0,-999,0,0,0,0,2006,0,0,1727,0,0,0,0,0,0,0,0,0,0,0,-999,4053,0,3931,0,384,0,0,0,0,0,-999,0,688,0,0,2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4183,0,0,0,0,0,0,0,0,521,534,0,156,0,0,0,0,420,2058,0,0,0,0,0,0,0,107,0,0,1896,0,0,582,3184,391,0,0,0,0,0,0,0,0,0,0,44751,86506,0,0,163788,565427,377667,143408,0,0,0,0,0,0
225,-999,0,0,0,-999,0,-999,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,-999,0,-999,0,-999,0,0,0,0,0,0,0,-999,0,0,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,2226,0,0,0,3606,0,0,0,8707,2219,0,0,0,0,0,0,24240,13024,0,0,22964,1971,251,658,858,207,0,287,0,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,0,0,0,970,2567,27331,0,263312,74408,0,0,123906,42369,378,0,-999,7929,0,0,9796,2458,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
302,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
303,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
304,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
305,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
306,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
307,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
308,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
309,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
